Guid,Name,Pricebook2Id,Product2Id,UnitPrice,IsActive,UseStandardPrice,ProductCode,IsArchived,ActivePriceAdjustmentQuantity
003430f6-e773-489b-b456-7aa9bb94afc5,Low-Code Lemon-Lime Syrup,00000001-c64a-496c-9b10-53674a81ae2a,335743bd-1b39-4d9c-8587-d79904a55021,33.45,true,false,POP-R-4,false,0
00d84de2-320b-448c-a9f2-74b2a9c31868,Platinum Consulting Plan,00000001-c64a-496c-9b10-53674a81ae2a,dba70368-dc6f-485b-8df9-316e5a5451b1,25000.0,true,false,PS3,false,0
084044a3-8455-40bc-971d-a8e55a5682f0,Monthly Maintance Plan,00000001-c64a-496c-9b10-53674a81ae2a,5558624a-5362-409f-83de-ef4c5d2871a0,150.0,true,false,SRV-R-2,false,0
0ad792dc-8cc8-4d64-98f2-5bef2aa1576e,Pumpkin Sandbox Latte,00000001-c64a-496c-9b10-53674a81ae2a,453f4e0e-3d7f-4d4d-ae37-3cd7a1c4d1c7,14.99,true,false,COF-OT-3,false,0
0d070988-8001-4652-be3b-d974e60a0a39,Business Plus Cloud Storage,00000001-c64a-496c-9b10-53674a81ae2a,59ba43ac-df3c-4b15-bac9-0a563917e83f,800.0,true,false,CS3,false,0
0e63284b-8a98-43b0-9446-7d0e5ed1d5c2,Soda Starter Bundle,00000001-c64a-496c-9b10-53674a81ae2a,eb4369b7-0742-43a0-bd21-4a94cf8111f0,0.0,true,false,SSB-B,false,0
0fa32b64-c1ee-4b0e-b30c-57e20ee55ac3,Business Cloud Storage,00000001-c64a-496c-9b10-53674a81ae2a,9734a74a-d485-44db-9c38-1be02ab93b1d,249.0,true,false,CS2,false,0
1261b7b0-ec3e-4037-84b8-e6c0c39e6572,Personal Security Firewall,00000001-c64a-496c-9b10-53674a81ae2a,6740d76a-5964-4555-bf33-a55775867151,500.0,true,false,N1,false,0
1723f981-4ed7-440c-9486-5faf42837368,10 Valve Push Button Countertop Ice/Beverage Dispenser,00000001-c64a-496c-9b10-53674a81ae2a,e0cac846-188a-49a0-ad61-209370b94e10,3189.0,true,false,EQP-OT-1,false,0
193f0bd0-c797-4098-8958-e4f2a85e3e43,Go-Live Grape Syrup,00000001-c64a-496c-9b10-53674a81ae2a,ad0f2c4d-0f44-427a-8910-f525957c547d,39.35,true,false,POP-OT-5,false,0
1ffc0d71-dc0c-4358-a3a0-c980a7070321,Dr. Prod Syrup,00000001-c64a-496c-9b10-53674a81ae2a,d9e45101-5943-46ab-a77b-ce6389331328,33.45,true,false,POP-R-2,false,0
22ca6a44-3e10-463a-a7c9-eccbf4ac89b4,Business Password Vault,00000001-c64a-496c-9b10-53674a81ae2a,3ec1c8b0-3a0f-450d-9df0-8a849fe2ea81,50.0,true,false,PV2,false,0
2750c03c-78e7-4487-aefd-6a235d4bb315,25+ User Training,00000001-c64a-496c-9b10-53674a81ae2a,490f3d26-afde-424a-9f51-eb3025a834db,7500.0,true,false,T2,false,0
27957ced-22d7-4c40-9159-e0d7e06670cd,Version Control Cappuccino,00000001-c64a-496c-9b10-53674a81ae2a,bfcced44-2abb-4ecd-995d-b8929d2f345e,14.99,true,false,COF-OT-7,false,0
2c805ab4-2617-40aa-912c-2a089b2316c6,Release Root Beer Syrup,00000001-c64a-496c-9b10-53674a81ae2a,0336b545-487e-403c-b092-0e20872f48aa,33.45,true,false,POP-R-7,false,0
2dbf5e84-16b0-423a-ad01-05b793948a0f,On-Site Implementation Support,00000001-c64a-496c-9b10-53674a81ae2a,28730290-24ca-4258-80ed-fff3614d08c3,5000.0,true,false,IS2,false,0
321059d0-85f4-4abf-b356-0d0f32634388,Secure Event Manager,00000001-c64a-496c-9b10-53674a81ae2a,5eac4c7a-aa5b-4a2d-a5a7-ac3714cbc850,1100.0,true,false,SM2,false,0
